tds,ec,ph
691,5.85,1.4
632,5.16,1.6
564,5.34,0.6
718,5.3,0.5
702,5.17,0.9
677,5.42,0.1
699,5.8,0.4
711,5.76,1.8
842,5.13,0.9
572,5.21,1.2
855,5.93,1.1
675,5.11,1.8
863,5.12,0.1
661,5.92,1.7
726,5.83,1.8
667,5.33,1.1
833,5.86,2.0
550,5.23,1.0
796,5.01,1.9
616,5.47,1.6
642,5.2,0.5
611,5.04,1.4
896,5.15,1.3
685,5.8,0.7
656,5.6,1.7
871,5.39,0.5
529,5.45,1.5
827,5.07,0.5
520,5.3,1.4
894,5.95,0.6
754,5.58,0.4
788,5.08,0.1
524,5.66,1.2
896,5.54,1.1
756,5.4,1.9
773,5.12,0.7
504,5.06,0.5
761,5.73,1.0
689,5.95,0.5
722,5.55,0.6
550,5.09,1.2
860,5.73,1.1
707,5.88,1.7
619,5.32,1.1
881,5.6,1.1
606,5.97,2.0
817,5.95,0.3
709,5.53,1.8
614,5.6,0.1
776,5.92,0.9
578,5.82,1.1
812,5.69,1.4
705,5.92,1.2
618,5.86,1.1
531,5.14,1.0
815,5.21,1.2
510,5.28,1.2
513,5.23,1.6
703,5.1,0.1
815,5.82,0.3
501,5.33,0.3
883,5.77,1.6
545,5.92,1.6
757,5.23,1.4
865,5.02,0.1
728,5.31,0.8
713,5.96,1.6
898,5.27,0.2
748,5.69,1.3
613,5.16,1.4
679,5.36,0.4
894,5.28,1.5
829,5.1,1.3
508,5.84,0.1
633,5.54,1.5
839,5.35,1.5
660,5.77,0.1
579,5.24,0.9
719,5.29,1.3
842,5.93,1.6
681,5.69,1.9
782,5.89,0.7
663,5.82,0.2
670,5.94,0.7
519,5.36,1.6
592,5.41,1.1
593,5.89,1.9
875,5.18,1.1
695,5.35,0.6
627,5.25,1.3
592,5.78,0.6
760,5.55,1.5
659,5.59,1.3
754,5.34,1.8
598,5.86,1.2
535,5.91,0.4
672,5.89,0.7
873,5.27,1.7
640,5.73,0.8
802,5.01,1.2
603,5.54,0.8
755,5.35,0.2
878,5.54,1.0
861,5.99,0.9
576,5.92,0.0
701,5.6,1.2
552,5.25,0.0
602,5.89,0.4
782,5.57,1.5
788,5.56,1.7
818,5.63,0.8
862,5.49,1.4
582,5.2,0.1
547,5.06,2.0
645,5.11,1.7
503,5.45,0.1
811,5.55,1.0
879,5.69,1.2
613,5.63,1.5
832,5.24,0.7
729,5.15,1.5
782,5.82,0.3
830,5.29,1.7
678,5.17,1.9
780,5.46,1.5
747,5.66,0.3
610,5.98,0.6
798,5.4,1.6
626,5.87,1.1
733,5.45,0.4
646,5.34,1.1
824,5.56,0.2
552,5.8,1.8
636,5.07,1.0
553,5.7,1.1
732,5.93,1.9
638,5.92,1.4
659,5.7,1.9
627,5.26,0.6
579,5.94,0.2
873,5.98,0.6
598,5.28,1.8
767,5.53,0.4
538,5.17,0.7
887,5.56,1.3
516,5.45,1.1
742,5.7,0.5
646,5.28,0.5
766,5.57,1.4
578,5.81,0.4
688,5.41,0.6
548,5.59,0.9
734,5.19,1.2
883,5.83,0.5
721,5.29,0.7
841,5.77,0.4
504,5.75,1.1
818,5.15,1.5
642,6.0,0.2
846,5.43,1.4
749,5.06,0.2
677,5.23,1.9
585,5.07,1.9
511,5.31,0.4
716,5.82,1.8
542,5.23,0.1
752,5.23,1.9
796,5.88,0.7
513,5.35,1.2
754,5.67,1.9
768,5.0,1.7
666,5.72,0.4
571,5.06,0.4
696,5.14,0.4
756,5.85,0.6
761,5.82,0.3
694,5.74,0.3
766,5.81,1.9
650,5.75,1.9
560,5.18,0.6
797,5.68,1.2
537,5.18,0.2
783,5.33,1.6
792,5.82,1.8
890,5.97,2.0
671,5.18,0.4
682,5.88,0.6
778,5.47,0.9
720,5.1,1.6
607,5.02,0.8
565,5.75,0.5
883,5.7,1.5
852,5.11,1.7
529,5.73,1.8
594,5.76,0.3
556,5.72,0.9
676,5.01,1.6
795,5.19,0.0
620,5.59,0.2
859,5.05,1.7
614,5.51,1.3
880,5.38,0.8
892,5.59,1.9
722,5.89,0.2
556,5.22,0.8
502,5.1,0.9
828,5.66,0.1
709,5.5,1.0
816,5.69,1.4
627,5.46,0.0
658,5.51,1.0
620,5.74,0.2
819,5.6,1.3
686,5.66,1.3
623,5.82,0.7
844,5.52,0.1
702,5.04,1.9
815,5.28,0.8
795,5.05,1.8
524,5.88,0.8
672,5.17,0.4
766,5.85,0.1
722,5.41,1.8
642,5.59,1.9
672,5.76,0.6
726,5.15,1.3
816,5.11,1.0
709,5.84,0.7
775,5.4,1.5
567,5.35,0.2
885,5.0,0.8
815,5.6,0.2
754,5.5,0.5
807,5.38,0.3
557,5.63,0.3
702,5.15,0.5
735,5.34,0.5
706,5.96,0.8
805,5.79,1.7
890,5.48,2.0
691,5.23,0.5
524,5.93,1.8
798,5.66,0.3
649,5.73,1.5
856,5.55,0.9
808,5.0,1.9
